tweet|date|time
Thank you to the Washington Examiner and @CortesSteve on the great article - on WINNING! https://www.washingtonexaminer.com/opinion/op-eds/trumps-winning-streak-rivals-one-of-the-greatest-streaks-in-sports …|2018-05-15|16:29:39
#PeaceOfficersMemorialDaypic.twitter.com/agxulpPyag|2018-05-15|14:56:56
Today is one of the most important and solemn occasions of the year – the day we pay tribute to the Law Enforcement Heroes who gave their lives in the line of duty. They made the ultimate sacrifice so that we could live in safety and peace. We stand with our police (HEROES) 100%!pic.twitter.com/XDtYRUeOk1|2018-05-15|14:39:58
Nebraska - make sure you get out to the polls and VOTE for Deb Fischer today! https://twitter.com/debfischerne/status/996371820512194560 …|2018-05-15|13:30:16
Can you believe that with all of the made up, unsourced stories I get from the Fake News Media, together with the  $10,000,000 Russian Witch Hunt (there is no Collusion), I now have my best Poll Numbers in a year. Much of the Media may be corrupt, but the People truly get it!|2018-05-15|10:08:21
Trade negotiations are continuing with China. They have been making hundreds of billions of dollars a year from the U.S., for many years. Stay tuned!|2018-05-15|08:35:30
Our great First Lady is doing really well. Will be leaving hospital in 2 or 3 days. Thank you for so much love and support!|2018-05-15|08:26:59
“Job openings hit record high of 6.6 million” https://www.cnbc.com/amp/2018/05/08/job-openings-hit-new-record-high-of-6-point-6-million.html?__twitter_impression=true …|2018-05-13|17:54:04
“Trump is putting the US back on top” https://nypost.com/2018/05/05/trump-is-putting-the-us-back-on-top/ …|2018-05-13|13:25:46
Heading over to Walter Reed Medical Center to see our great First Lady, Melania. Successful procedure, she is in good spirits. Thank you to all of the well-wishers!|2018-05-14|17:09:16
The so-called leaks coming out of the White House are a massive over  exaggeration put out by the Fake News Media in order to make us look as bad as possible. With that being said, leakers are traitors and cowards, and we will find out who they are!|2018-05-14|16:46:25
ZTE, the large Chinese phone company, buys a big percentage of individual parts from U.S. companies. This is also reflective of the larger trade deal we are negotiating with China and my personal relationship with President Xi.|2018-05-14|16:06:53
#USEmbassyJerusalem http://pscp.tv/w/1kvJpWoqeLdGE |2018-05-14|11:16:38
Big day for Israel. Congratulations!|2018-05-14|09:36:25
U.S. Embassy opening in Jerusalem will be covered live on @FoxNews & @FoxBusiness. Lead up to 9:00 A.M. (eastern) event has already begun. A great day for Israel!|2018-05-14|06:54:15
So sad to see the Terror Attack in Paris. At some point countries will have to open their eyes & see what is really going on. This kind of sickness & hatred is not compatible with a loving, peaceful, & successful country! Changes to our thought process on terror must be made.|2018-05-13|20:03:21
Remember how badly Iran was behaving with the Iran Deal in place. They were trying to take over the Middle East by whatever means necessary. Now, that will not happen!|2018-05-13|16:11:33
China and the United States are working well together on trade, but past negotiations have been so one sided in favor of China, for so many years, that it is hard for them to make a deal that benefits both countries. But be cool, it will all work out!|2018-05-13|15:22:03
President Xi of China, and I, are working together to give massive Chinese phone company, ZTE, a way to get back into business, fast. Too many jobs in China lost. Commerce Department has been instructed to get it done!|2018-05-13|11:01:00
Happy Mother’s Day!!!pic.twitter.com/zw71dnT7TJ|2018-05-13|08:29:08
The Senate should get funding done before the August break, or NOT GO HOME. Wall and Border Security should be included. Also waiting for approval of almost 300 nominations, worst in history. Democrats are doing everything possible to obstruct, all they know how to do. STAY!|2018-05-12|18:20:16
Iran’s Military Budget is up more than 40% since the Obama negotiated Nuclear Deal was reached...just another indicator that it was all a big lie. But not anymore!|2018-05-12|18:02:55
North Korea has announced that they will dismantle Nuclear Test Site this month, ahead of the big Summit Meeting on June 12th. Thank you, a very smart and gracious gesture!|2018-05-12|17:08:55
Why doesn’t the Fake News Media state that the Trump Administration’s Anti-Trust Division has been, and is, opposed to the AT&T purchase of Time Warner in a currently ongoing Trial. Such a disgrace in reporting!|2018-05-11|19:49:40
Big week next week when the American Embassy in Israel will be moved to Jerusalem. Congratulations to all!|2018-05-11|19:39:01
The American people deserve a healthcare system that takes care of them – not one that takes advantage of them. We will work every day to ensure all Americans have access to the quality, affordable medication they need and deserve. We will not rest until the job is done!pic.twitter.com/9BzevAniNx|2018-05-11|16:56:25
Today, my Administration is launching the most sweeping action in history to lower the price of prescription drugs for the American People. We will have tougher negotiation, more competition, and much lower prices at the pharmacy counter! https://www.pscp.tv/w/bcXlGzFvTlFsTFJub1dwUXd8MUJSSmpyWXZOVlJKdx7hbfdOVng0_-0ftv64fLypcG0P4pNxauuOXLAcsAqv?t=6s …|2018-05-11|15:30:16
Thank you Indiana! #MAGA https://www.pscp.tv/w/bcTc2jFvTlFsTFJub1dwUXd8MVlxSkRkcHdyT0JKVuOhyp-lK8JzO8lTj--6GHLXY2vAnJweo84nIO1EVIcM?t=15m57s …|2018-05-10|20:49:43
The highly anticipated meeting between Kim Jong Un and myself will take place in Singapore on June 12th. We will both try to make it a very special moment for World Peace!|2018-05-10|10:37:57
Five Most Wanted leaders of ISIS just captured!|2018-05-10|10:33:00
Senator Cryin’ Chuck Schumer fought hard against the Bad Iran Deal, even going at it with President Obama, & then Voted AGAINST it! Now he says I should not have terminated the deal - but he doesn’t really believe that! Same with Comey. Thought he was terrible until I fired him!|2018-05-10|10:30:27
On behalf of the American people, WELCOME HOME!pic.twitter.com/hISaCI95CB|2018-05-10|06:01:43
Gina Haspel did a spectacular job today. There is nobody even close to run the CIA!|2018-05-09|22:19:02
Looking forward to greeting the Hostages (no longer) at 2:00 A.M.|2018-05-09|18:41:03
The Failing New York Times criticized Secretary of State Pompeo for being AWOL (missing), when in fact he was flying to North Korea. Fake News, so bad!|2018-05-09|18:38:10
Secretary Pompeo and his “guests” will be landing at Andrews Air Force Base at 2:00 A.M. in the morning. I will be there to greet them. Very exciting!|2018-05-09|08:35:51
I am pleased to inform you that Secretary of State Mike Pompeo is in the air and on his way back from North Korea with the 3 wonderful gentlemen that everyone is looking so forward to meeting. They seem to be in good health. Also, good meeting with Kim Jong Un. Date & Place set.|2018-05-09|08:30:56
Congratulations to Mike Dewine on his big win in the Great State of Ohio. He will be a great Governor with a heavy focus on HealthCare and Jobs.  His Socialist opponent in November should not do well, a big failure in last job!|2018-05-09|08:00:30
Candace Owens of Turning Point USA is having a big impact on politics in our Country. She represents an ever expanding group of very smart “thinkers,” and it is wonderful to watch and hear the dialogue going on...so good for our Country!|2018-05-09|07:48:17
The Fake News is working overtime. Just reported that, despite the tremendous success we are having with the economy & all things else, 91% of the Network News about me is negative (Fake). Why do we work so hard in working with the media when it is corrupt? Take away credentials?|2018-05-09|07:38:45
The Republican Party had a great night. Tremendous voter energy and excitement, and all candidates are those who have a great chance of winning in November. The Economy is sooo strong, and with Nancy Pelosi wanting to end the big Tax Cuts and Raise Taxes, why wouldn’t we win?|2018-05-09|07:24:20
The Iran Deal is defective at its core. If we do nothing, we know what will happen. In just a short time, the world’s leading state sponsor of terror will be on the cusp of acquiring the world’s most dangerous weapons....pic.twitter.com/58qwBLzxIH|2018-05-08|18:11:13
"Finally, I want to deliver a message to the long-suffering people of Iran. The people of America stand with you."pic.twitter.com/TsrheA7rUz|2018-05-08|15:09:01
"At the heart of the Iran deal was a giant fiction: that a murderous regime desired only a peaceful nuclear energy program. Today, we have definitive proof that this Iranian promise was a lie."pic.twitter.com/9m4VBjnHj7|2018-05-08|15:03:05
Statement on the Iran Nuclear Deal: https://www.pscp.tv/w/bcHoFDFvTlFsTFJub1dwUXd8MVlxS0RkRWt3RG9LVuGHoVNqHUMTOFsKvNeEtRThrkhTbwCW_TKUlteUhH3s?t=1s …|2018-05-08|14:52:00
